,Result_everyday,Result_peak
MSE,95.76873016357422,226.54257202148438
RMSE,9.786149978637695,15.051331520080566
R2,-1.724881393477956,-3.3750241772948226
MAE,7.097384929656982,11.497831344604492
MAPE,451.84125900268555,75.90951919555664
