,Result_everyday,Result_peak
MSE,106.11499786376953,826.584716796875
RMSE,10.301213264465332,28.75038719177246
R2,-278.16817855064653,-3212.4240987992102
MAE,7.887730121612549,28.116920471191406
MAPE,826.0601997375488,61.362963914871216
