,Result_everyday,Result_peak
MSE,105.68086242675781,826.6461181640625
RMSE,10.280119895935059,28.751453399658203
R2,-283.38582175356964,-3459.730934977044
MAE,7.876181125640869,28.141990661621094
MAPE,821.860408782959,61.45239472389221
