,Result_everyday,Result_peak
MSE,108.19535827636719,823.8911743164062
RMSE,10.401700019836426,28.70350456237793
R2,-330.23733793681714,-2868.1890814452313
MAE,8.021188735961914,28.075477600097656
MAPE,842.7253723144531,61.27987504005432
