,Result_everyday,Result_peak
MSE,128.93069458007812,318.5918884277344
RMSE,11.354764938354492,17.84914207458496
R2,-116953.55983891302,-361696.1430827971
MAE,8.750267028808594,13.992314338684082
MAPE,1101.6454696655273,76.2216329574585
